template,suggestedKey
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0}/Groups/Group-{1}/Enable","INPUT_PROCESS_EXTRA_CHANNEL_GROUP_ENABLE"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0}/Groups/Group-{1}/Gain/Value","INPUT_PROCESS_EXTRA_CHANNEL_GROUP_GAIN_VALUE"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0}/Groups/Group-{1}/Guid","INPUT_PROCESS_EXTRA_CHANNEL_GROUP_GUID"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0}/Groups/Group-{1}/InDelay/Enable","INPUT_PROCESS_EXTRA_CHANNEL_GROUP_INDELAY_ENABLE"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0}/Groups/Group-{1}/InDelay/Value","INPUT_PROCESS_EXTRA_CHANNEL_GROUP_INDELAY_VALUE"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0}/Groups/Group-{1}/InPolarity/Value","INPUT_PROCESS_EXTRA_CHANNEL_GROUP_INPOLARITY_VALUE"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0}/Groups/Group-{1}/InputEQ/Filter/Filter-{2}/Enable","INPUT_PROCESS_EXTRA_CHANNEL_GROUP_FILTER_ENABLE"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0}/Groups/Group-{1}/InputEQ/Filter/Filter-{2}/Freq1/Value","INPUT_PROCESS_EXTRA_CHANNEL_GROUP_FILTER_FREQ1_VALUE"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0}/Groups/Group-{1}/InputEQ/Filter/Filter-{2}/Gain1/Value","INPUT_PROCESS_EXTRA_CHANNEL_GROUP_FILTER_GAIN1_VALUE"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0}/Groups/Group-{1}/InputEQ/Filter/Filter-{2}/Slope1/Value","INPUT_PROCESS_EXTRA_CHANNEL_GROUP_FILTER_SLOPE1_VALUE"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0}/Groups/Group-{1}/InputEQ/Filter/Filter-{2}/Type/Value","INPUT_PROCESS_EXTRA_CHANNEL_GROUP_FILTER_TYPE_VALUE"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0}/Groups/Group-{1}/Mute/Value","INPUT_PROCESS_EXTRA_CHANNEL_GROUP_MUTE_VALUE"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0}/Groups/Group-{1}/Name","INPUT_PROCESS_EXTRA_CHANNEL_GROUP_NAME"
"/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0}/Groups/Group-{1}/Type","INPUT_PROCESS_EXTRA_CHANNEL_GROUP_TYPE"
"/Device/Audio/Presets/Live/Extra/OutputProcess/Channels/Channel-{0}/AuxAttenuation/Value","OUTPUT_EXTRA_CHANNEL_AUX_ATTENUATION_VALUE"
"/Device/Audio/Presets/Live/Extra/OutputProcess/Channels/Channel-{0}/AuxDelay/Enable","OUTPUT_EXTRA_CHANNEL_AUX_DELAY_ENABLE"
"/Device/Audio/Presets/Live/Extra/OutputProcess/Channels/Channel-{0}/AuxDelay/Value","OUTPUT_EXTRA_CHANNEL_AUX_DELAY_VALUE"
"/Device/Audio/Presets/Live/Generals/LatencyCompensation/Value","GENERALS_LATENCY_COMPENSATION_VALUE"
"/Device/Audio/Presets/Live/Generals/SignalGenerator/Enable/Value","GENERALS_SIGNAL_GENERATOR_ENABLE_VALUE"
"/Device/Audio/Presets/Live/Generals/SignalGenerator/Gain/Value","GENERALS_SIGNAL_GENERATOR_GAIN_VALUE"
