Key,Type,Default,Min,Max,AllowedValues,Unit,Notes
/Device/Config/Name,STRING,The default value is set to the amplifier model,,,,,
/Device/Audio/Presets/Live/Generals/Standby/Value,BOOL,False,,,,,
/Device/Audio/Presets/Live/Generals/Gpi/Vca-{0:5}/Value,INT,-1,-1,7,,,
/Device/Audio/Presets/Live/Generals/Gpi/Mute-{0:5}/Value,INT,-1,-1,7,,,
/Device/Audio/Presets/Live/Generals/Gpi/Standby/Value,INT,-1,-1,7,,,
/Device/Audio/Presets/Live/Generals/Gpo/Gpo-{0:6}/General/Value,INT,-1,-1,5,,,
/Device/Audio/Presets/Live/Generals/Gpo/Gpo-{0:6}/Type/Value,INT,-1,-1,2147483647,,,
/Device/Audio/Presets/Live/Generals/LatencyCompensation/Type,ENUM,0,,,,,
/Device/Audio/Presets/Live/Generals/LatencyCompensation/Value,FLOAT,0,,,,,
/Device/Audio/Presets/Live/Generals/SignalGenerator/Enable/Value,BOOL,False,,,,,
/Device/Audio/Presets/Live/Generals/SignalGenerator/Gain/Value,FLOAT,0.000988553094656939,0.000988553094656939,3.9810717055349722,,Linear,
/Device/Audio/Presets/Live/SourceSelection/RoutingChannel-{0:7}/Src-{0:3}/Value,ENUM,0,,,,,
/Device/Audio/Presets/Live/SourceSelection/BackupStrategy/BackupStrategy-{0:7}/Enable/Value,BOOL,True,,,,,
/Device/Audio/Presets/Live/SourceSelection/BackupStrategy/BackupStrategy-{0:7}/Priority-{0:3}/Value,INT,0,0,3,,,
/Device/Audio/Presets/Live/SourceSelection/BackupStrategy/BackupStrategy-{0:7}/DefaultPriority/Value,INT,0,0,3,,,
/Device/Audio/Presets/Live/SourceSelection/BackupStrategy/BackupStrategy-{0:7}/Manual/Value,INT,0,-1,32,,,
/Device/Audio/Presets/Live/SourceSelection/BackupStrategy/BackupStrategy-{0:7}/SecondaryManual/Value,INT,0,-1,32,,,
/Device/Audio/Presets/Live/SourceSelection/BackupStrategy/BackupStrategy-{0:7}/CustomThresholdSignalDetect/Enable/Value,BOOL,False,,,,,
/Device/Audio/Presets/Live/SourceSelection/BackupStrategy/BackupStrategy-{0:7}/CustomThresholdSignalDetect/Src-{0:3}/Value,FLOAT,0.002450765186630494,0.002450765186630494,4.358145270225206,,Linear,
/Device/Audio/Presets/Live/SourceSelection/BackupStrategy/BackupStrategy-{0:7}/PilotTone/Enable/Value,BOOL,False,,,,,
/Device/Audio/Presets/Live/SourceSelection/BackupStrategy/BackupStrategy-{0:7}/PilotTone/Low/Value,FLOAT,1.9920567316458693,0.002450765186630494,3.8842010606113595,,Linear,
/Device/Audio/Presets/Live/SourceSelection/BackupStrategy/BackupStrategy-{0:7}/PilotTone/High/Value,FLOAT,1.9920567316458693,0.002450765186630494,3.8842010606113595,,Linear,
/Device/Audio/Presets/Live/SourceSelection/BackupStrategy/BackupStrategy-{0:7}/PilotTone/Freq/Value,FLOAT,20000,20,22000,,,
/Device/Audio/Presets/Live/SourceSelection/BackupStrategy/BackupStrategy-{0:7}/PilotTone/GpioEnable/Value,BOOL,False,,,,,
/Device/Audio/Presets/Live/SourceSelection/AnalogInput/Gain/Value,FLOAT,1,0,5.7,,Linear,
/Device/Audio/Presets/Live/SourceSelection/AnalogInput/Delay/Value,FLOAT,0,0,0.15,,Seconds,
/Device/Audio/Presets/Live/SourceSelection/NetStreamGroupGain{0:1}/Gain/Value,FLOAT,1,0.003981071705534973,3.9810717055349722,,Linear,
/Device/Audio/Presets/Live/SourceSelection/NetStreamGroupGain{0:1}/Delay/Value,FLOAT,0,0,0.15,,Seconds,
/Device/Audio/Presets/Live/SourceSelection/Generals/DigitalOutRouting-{0:7}/Gain/Value,FLOAT,1,0.000988553094656939,5.623413251903491,,Linear,
/Device/Audio/Presets/Live/SourceSelection/Generals/DigitalOutRouting-{0:7}/Position/Value,ENUM,0,,,,,
/Device/Audio/Presets/Live/SourceSelection/Generals/DigitalOutRouting-{0:7}/Channel/Value,INT,0,0,31,,,
/Device/Audio/Presets/Live/SourceSelection/Generals/DigitalOutRouting-{0:7}/MonomixSecondSource/Value,INT,0,0,31,,,
/Device/Audio/Presets/Live/InputMatrix/Generals/ExtraControl/Enable/Value,BOOL,False,,,,,
/Device/Audio/Presets/Live/InputMatrix/InGain-{0:7}/Value,FLOAT,1,0.001,5.623413251903491,,Linear,
/Device/Audio/Presets/Live/InputMatrix/InMute-{0:7}/Value,BOOL,False,,,,,
/Device/Audio/Presets/Live/InputMatrix/Channels/Channel-{0:7}/Gain-{0:7}/Value,FLOAT,1,0.000988553094656939,1,,Linear,
/Device/Audio/Presets/Live/InputMatrix/Channels/Channel-{0:7}/Mute-{0:7}/Value,BOOL,False,,,,,
/Device/Audio/Presets/Live/SpeakerLayout/Connections,STRING,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,,,,,
/Device/Audio/Presets/Live/SpeakerLayout/SpeakerName-{0:7}/Name,STRING,,,,,,
/Device/Audio/Presets/Live/SpeakerLayout/Speaker-{0:7}/Note,STRING,,,,,,
/Device/Audio/Presets/Live/SpeakerLayout/Speaker-{0:7}/Description,STRING,Preset notes,,,,,
/Device/Audio/Presets/Live/SpeakerLayout/Speaker-{0:7}/BrandName,STRING,Speaker Brand,,,,,
/Device/Audio/Presets/Live/SpeakerLayout/Speaker-{0:7}/FamilyName,STRING,Speaker Family,,,,,
/Device/Audio/Presets/Live/SpeakerLayout/Speaker-{0:7}/ModelName,STRING,Speaker Model,,,,,
/Device/Audio/Presets/Live/SpeakerLayout/Speaker-{0:7}/Application,STRING,Speaker Application,,,,,
/Device/Audio/Presets/Live/SpeakerLayout/Speaker-{0:7}/Type,ENUM,3,,,,,
/Device/Audio/Presets/Live/SpeakerLayout/Speaker-{0:7}/PresetType,STRING,-1,,,,,
/Device/Audio/Presets/Live/SpeakerLayout/SpeakerOemFields-{0:7}/Name,STRING,,,,,,
/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0:7}/Gain/Value,FLOAT,1,0.001,5.623413251903491,,Linear,
/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0:7}/ShadingGain/Value,FLOAT,1,0.251188643150958,1,,Linear,
/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0:7}/InPolarity/Value,BOOL,False,,,,,
/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0:7}/Mute/Value,BOOL,False,,,,,
/Device/Audio/Presets/Live/InputProcess/Generals/MaxCurrentDraw/Value,FLOAT,20,10,20,,,
/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0:7}/InDelay/Value,FLOAT,0,0,2,,,
/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0:7}/InDelay/Enable/Value,BOOL,True,,,,,
/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0:7}/InputEQ/Enable/Value,BOOL,True,,,,,
/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0:7}/InputEQ/Filter/Filter-{0:95}/Enable,BOOL,False,,,,,
/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0:7}/InputEQ/Filter/Filter-{0:95}/Type/Value,ENUM,2147483648,,,,,
