Key,Match,MatchType,SymbolicKey,ParameterPath,Type,Default,Min,Max,AllowedValues,Unit,Notes
/Device/Config/Name,yes,exact,DEVICE_NAME,/Device/Config/Name,STRING,The default value is set to the amplifier model,,,,,
/Device/Audio/Presets/Live/Generals/Standby/Value,yes,exact,DEVICE_STANDBY,/Device/Audio/Presets/Live/Generals/Standby/Value,BOOL,False,,,,,
/Device/Audio/Presets/Live/Generals/Gpi/Vca-{0:5}/Value,no,unmatched,,,INT,-1,-1,7,,,
/Device/Audio/Presets/Live/Generals/Gpi/Mute-{0:5}/Value,no,unmatched,,,INT,-1,-1,7,,,
/Device/Audio/Presets/Live/Generals/Gpi/Standby/Value,no,unmatched,,,INT,-1,-1,7,,,
/Device/Audio/Presets/Live/Generals/Gpo/Gpo-{0:6}/General/Value,no,unmatched,,,INT,-1,-1,5,,,
/Device/Audio/Presets/Live/Generals/Gpo/Gpo-{0:6}/Type/Value,no,unmatched,,,INT,-1,-1,2147483647,,,
/Device/Audio/Presets/Live/Generals/LatencyCompensation/Type,yes,exact,LATENCY_COMPENSATION,/Device/Audio/Presets/Live/Generals/LatencyCompensation/Type,ENUM,0,,,,,
/Device/Audio/Presets/Live/Generals/LatencyCompensation/Value,no,unmatched,,,FLOAT,0,,,,,
/Device/Audio/Presets/Live/Generals/SignalGenerator/Enable/Value,no,unmatched,,,BOOL,False,,,,,
/Device/Audio/Presets/Live/Generals/SignalGenerator/Gain/Value,no,unmatched,,,FLOAT,0.000988553094656939,0.000988553094656939,3.9810717055349722,,Linear,
/Device/Audio/Presets/Live/SourceSelection/RoutingChannel-{0:7}/Src-{0:3}/Value,yes,norm,INPUT_CHANNEL_SOURCE_ROUTING,/Device/Audio/Presets/Live/SourceSelection/RoutingChannel-{0}/Src-{1}/Value,ENUM,0,,,,,
/Device/Audio/Presets/Live/SourceSelection/BackupStrategy/BackupStrategy-{0:7}/Enable/Value,yes,norm,INPUT_CHANNEL_SOURCE_BACKUP_STRATEGY,/Device/Audio/Presets/Live/SourceSelection/BackupStrategy/BackupStrategy-{0}/Enable/Value,BOOL,True,,,,,
/Device/Audio/Presets/Live/SourceSelection/BackupStrategy/BackupStrategy-{0:7}/Priority-{0:3}/Value,yes,norm,INPUT_CHANNEL_SOURCE,/Device/Audio/Presets/Live/SourceSelection/BackupStrategy/BackupStrategy-{0}/Priority-{1}/Value,INT,0,0,3,,,
/Device/Audio/Presets/Live/SourceSelection/BackupStrategy/BackupStrategy-{0:7}/DefaultPriority/Value,no,unmatched,,,INT,0,0,3,,,
/Device/Audio/Presets/Live/SourceSelection/BackupStrategy/BackupStrategy-{0:7}/Manual/Value,yes,norm,INPUT_CHANNEL_MANUAL_SOURCE_SELECTION,/Device/Audio/Presets/Live/SourceSelection/BackupStrategy/BackupStrategy-{0}/Manual/Value,INT,0,-1,32,,,
/Device/Audio/Presets/Live/SourceSelection/BackupStrategy/BackupStrategy-{0:7}/SecondaryManual/Value,no,unmatched,,,INT,0,-1,32,,,
/Device/Audio/Presets/Live/SourceSelection/BackupStrategy/BackupStrategy-{0:7}/CustomThresholdSignalDetect/Enable/Value,no,unmatched,,,BOOL,False,,,,,
/Device/Audio/Presets/Live/SourceSelection/BackupStrategy/BackupStrategy-{0:7}/CustomThresholdSignalDetect/Src-{0:3}/Value,no,unmatched,,,FLOAT,0.002450765186630494,0.002450765186630494,4.358145270225206,,Linear,
/Device/Audio/Presets/Live/SourceSelection/BackupStrategy/BackupStrategy-{0:7}/PilotTone/Enable/Value,yes,norm,INPUT_PILOT_TONE_CARRIER_CHECK,/Device/Audio/Presets/Live/SourceSelection/BackupStrategy/BackupStrategy-{0}/PilotTone/Enable/Value,BOOL,False,,,,,
/Device/Audio/Presets/Live/SourceSelection/BackupStrategy/BackupStrategy-{0:7}/PilotTone/Low/Value,no,unmatched,,,FLOAT,1.9920567316458693,0.002450765186630494,3.8842010606113595,,Linear,
/Device/Audio/Presets/Live/SourceSelection/BackupStrategy/BackupStrategy-{0:7}/PilotTone/High/Value,no,unmatched,,,FLOAT,1.9920567316458693,0.002450765186630494,3.8842010606113595,,Linear,
/Device/Audio/Presets/Live/SourceSelection/BackupStrategy/BackupStrategy-{0:7}/PilotTone/Freq/Value,no,unmatched,,,FLOAT,20000,20,22000,,,
/Device/Audio/Presets/Live/SourceSelection/BackupStrategy/BackupStrategy-{0:7}/PilotTone/GpioEnable/Value,no,unmatched,,,BOOL,False,,,,,
/Device/Audio/Presets/Live/SourceSelection/AnalogInput/Gain/Value,no,unmatched,,,FLOAT,1,0,5.7,,Linear,
/Device/Audio/Presets/Live/SourceSelection/AnalogInput/Delay/Value,no,unmatched,,,FLOAT,0,0,0.15,,Seconds,
/Device/Audio/Presets/Live/SourceSelection/NetStreamGroupGain{0:1}/Gain/Value,no,unmatched,,,FLOAT,1,0.003981071705534973,3.9810717055349722,,Linear,
/Device/Audio/Presets/Live/SourceSelection/NetStreamGroupGain{0:1}/Delay/Value,no,unmatched,,,FLOAT,0,0,0.15,,Seconds,
/Device/Audio/Presets/Live/SourceSelection/Generals/DigitalOutRouting-{0:7}/Gain/Value,no,unmatched,,,FLOAT,1,0.000988553094656939,5.623413251903491,,Linear,
/Device/Audio/Presets/Live/SourceSelection/Generals/DigitalOutRouting-{0:7}/Position/Value,no,unmatched,,,ENUM,0,,,,,
/Device/Audio/Presets/Live/SourceSelection/Generals/DigitalOutRouting-{0:7}/Channel/Value,no,unmatched,,,INT,0,0,31,,,
/Device/Audio/Presets/Live/SourceSelection/Generals/DigitalOutRouting-{0:7}/MonomixSecondSource/Value,no,unmatched,,,INT,0,0,31,,,
/Device/Audio/Presets/Live/InputMatrix/Generals/ExtraControl/Enable/Value,yes,exact,INPUT_MATRIX_EXTRA_CONTROL,/Device/Audio/Presets/Live/InputMatrix/Generals/ExtraControl/Enable/Value,BOOL,False,,,,,
/Device/Audio/Presets/Live/InputMatrix/InGain-{0:7}/Value,yes,norm,MATRIX_INPUT_GAIN,/Device/Audio/Presets/Live/InputMatrix/InGain-{0}/Value,FLOAT,1,0.001,5.623413251903491,,Linear,
/Device/Audio/Presets/Live/InputMatrix/InMute-{0:7}/Value,yes,norm,MATRIX_INPUT_MUTE,/Device/Audio/Presets/Live/InputMatrix/InMute-{0}/Value,BOOL,False,,,,,
/Device/Audio/Presets/Live/InputMatrix/Channels/Channel-{0:7}/Gain-{0:7}/Value,yes,norm,MATRIX_GAIN,/Device/Audio/Presets/Live/InputMatrix/Channels/Channel-{0}/Gain-{1}/Value,FLOAT,1,0.000988553094656939,1,,Linear,
/Device/Audio/Presets/Live/InputMatrix/Channels/Channel-{0:7}/Mute-{0:7}/Value,yes,norm,MATRIX_MUTE,/Device/Audio/Presets/Live/InputMatrix/Channels/Channel-{0}/Mute-{1}/Value,BOOL,False,,,,,
/Device/Audio/Presets/Live/SpeakerLayout/Connections,yes,exact,SPEAKER_GROUPS_8,/Device/Audio/Presets/Live/SpeakerLayout/Connections,STRING,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,,,,,
/Device/Audio/Presets/Live/SpeakerLayout/SpeakerName-{0:7}/Name,no,unmatched,,,STRING,,,,,,
/Device/Audio/Presets/Live/SpeakerLayout/Speaker-{0:7}/Note,no,unmatched,,,STRING,,,,,,
/Device/Audio/Presets/Live/SpeakerLayout/Speaker-{0:7}/Description,no,unmatched,,,STRING,Preset notes,,,,,
/Device/Audio/Presets/Live/SpeakerLayout/Speaker-{0:7}/BrandName,no,unmatched,,,STRING,Speaker Brand,,,,,
/Device/Audio/Presets/Live/SpeakerLayout/Speaker-{0:7}/FamilyName,no,unmatched,,,STRING,Speaker Family,,,,,
/Device/Audio/Presets/Live/SpeakerLayout/Speaker-{0:7}/ModelName,yes,norm,SPEAKER_NAME,/Device/Audio/Presets/Live/SpeakerLayout/Speaker-{0}/ModelName,STRING,Speaker Model,,,,,
/Device/Audio/Presets/Live/SpeakerLayout/Speaker-{0:7}/Application,no,unmatched,,,STRING,Speaker Application,,,,,
/Device/Audio/Presets/Live/SpeakerLayout/Speaker-{0:7}/Type,no,unmatched,,,ENUM,3,,,,,
/Device/Audio/Presets/Live/SpeakerLayout/Speaker-{0:7}/PresetType,no,unmatched,,,STRING,-1,,,,,
/Device/Audio/Presets/Live/SpeakerLayout/SpeakerOemFields-{0:7}/Name,no,unmatched,,,STRING,,,,,,
/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0:7}/Gain/Value,yes,norm,INPUT_CHANNEL_GAIN,/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0}/Gain/Value,FLOAT,1,0.001,5.623413251903491,,Linear,
/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0:7}/ShadingGain/Value,yes,norm,INPUT_CHANNEL_SHADING,/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0}/ShadingGain/Value,FLOAT,1,0.251188643150958,1,,Linear,
/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0:7}/InPolarity/Value,yes,norm,INPUT_CHANNEL_EQ_POLARITY,/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0}/InPolarity/Value,BOOL,False,,,,,
/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0:7}/Mute/Value,yes,norm,INPUT_CHANNEL_MUTE,/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0}/Mute/Value,BOOL,False,,,,,
/Device/Audio/Presets/Live/InputProcess/Generals/MaxCurrentDraw/Value,no,unmatched,,,FLOAT,20,10,20,,,
/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0:7}/InDelay/Value,yes,norm,INPUT_CHANNEL_AUXDELAY,/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0}/InDelay/Value,FLOAT,0,0,2,,,
/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0:7}/InDelay/Enable/Value,no,unmatched,,,BOOL,True,,,,,
/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0:7}/InputEQ/Enable/Value,yes,norm,INPUT_CHANNEL_EQ,/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0}/InputEQ/Enable/Value,BOOL,True,,,,,
/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0:7}/InputEQ/Filter/Filter-{0:95}/Enable,yes,norm,INPUT_EQ_FILTER_ENABLE,/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0}/InputEQ/Filter/Filter-{1}/Enable,BOOL,False,,,,,
/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0:7}/InputEQ/Filter/Filter-{0:95}/Type/Value,yes,norm,INPUT_EQ_FILTER_TYPE,/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0}/InputEQ/Filter/Filter-{1}/Type/Value,ENUM,2147483648,,,,,
/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0:7}/InputEQ/Filter/Filter-{0:95}/Flags/Value,yes,norm,INPUT_EQ_FILTER_FLAGS,/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0}/InputEQ/Filter/Filter-{1}/Flags/Value,INT,0,,,,,
/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0:7}/InputEQ/Filter/Filter-{0:95}/Freq1/Value,yes,norm,INPUT_EQ_FILTER_FREQ1,/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0}/InputEQ/Filter/Filter-{1}/Freq1/Value,FLOAT,1000,20,20000,,,
/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0:7}/InputEQ/Filter/Filter-{0:95}/Gain1/Value,yes,norm,INPUT_EQ_FILTER_GAIN1,/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0}/InputEQ/Filter/Filter-{1}/Gain1/Value,FLOAT,0,-15,15,,,
/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0:7}/InputEQ/Filter/Filter-{0:95}/Slope1/Value,yes,norm,INPUT_EQ_FILTER_SLOPE1,/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0}/InputEQ/Filter/Filter-{1}/Slope1/Value,FLOAT,1,0.1,10,,,
