SymbolicKey,ParameterPath
DEVICE_CHANNELS,/Device/Config/Hardware/Channels
DEVICE_FIRMWARE_VERSION,/Device/Config/Software/Firmware/Version
DEVICE_SERIAL,/Device/Config/Hardware/Model/Serial
GENERATOR_DURATION,/Device/Audio/Presets/Live/Extra/AuxSignalGenerator/Duration/Value
GENERATOR_ENABLE,/Device/Audio/Presets/Live/Extra/AuxSignalGenerator/Enable/Value
GENERATOR_FREQ,/Device/Audio/Presets/Live/Extra/AuxSignalGenerator/Frequency/Value
GENERATOR_FREQ_START,/Device/Audio/Presets/Live/Extra/AuxSignalGenerator/StartFreq/Value
GENERATOR_FREQ_STOP,/Device/Audio/Presets/Live/Extra/AuxSignalGenerator/StopFreq/Value
GENERATOR_SIGNAL_TYPE,/Device/Audio/Presets/Live/Extra/AuxSignalGenerator/Type/Value
GENERATOR_SIGNAL_LEVEL,/Device/Audio/Presets/Live/Extra/AuxSignalGenerator/Level/Value
INPUT_CHANNEL_SOURCE_CARRIER_CHECK_PARAMS,/Device/Audio/Presets/Live/SourceSelection/BackupStrategy/BackupStrategy-{0}/CarrierCheckParams/Enable/Value
INPUT_PILOT_TONE_FREQUENCY,/Device/Audio/Presets/Live/SourceSelection/BackupStrategy/BackupStrategy-{0}/CarrierCheckParams/Freq/Value
INPUT_PILOT_TONE_THRESHOLD_AES3,/Device/Audio/Presets/Live/SourceSelection/BackupStrategy/BackupStrategy-{0}/CarrierCheckParams/MinValAES3/Value
INPUT_PILOT_TONE_THRESHOLD_ANALOG,/Device/Audio/Presets/Live/SourceSelection/BackupStrategy/BackupStrategy-{0}/CarrierCheckParams/MinValAnalog/Value
INPUT_PILOT_TONE_THRESHOLD_DANTE_A,/Device/Audio/Presets/Live/SourceSelection/BackupStrategy/BackupStrategy-{0}/CarrierCheckParams/MinValNetStreamGroup0/Value
INPUT_PILOT_TONE_THRESHOLD_DANTE_B,/Device/Audio/Presets/Live/SourceSelection/BackupStrategy/BackupStrategy-{0}/CarrierCheckParams/MinValNetStreamGroup1/Value
INPUT_EQ_FILTERS,/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0}/InputEQ/Filter
INPUT_PROCESS_GROUPS,/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0}/Groups/
INPUT_SOURCE_AUX_INPUT_ENABLE,/Device/Audio/Presets/Live/SourceSelection/BackupStrategy/BackupStrategy-0/AuxInput/Value
MATRIX,/Device/Audio/Presets/Live/InputMatrix/Channels
NETWORK_ADDRESS,/Device/Config/Networking/Ethernet/Ip
NETWORK_DHCP_ENABLED,/Device/Config/Networking/Ethernet/Dhcp/Enable
NETWORK_DHCP_FROM,/Device/Config/Networking/Wifi/Dhcp/From
NETWORK_DHCP_TO,/Device/Config/Networking/Wifi/Dhcp/To
NETWORK_DNS,/Device/Config/Networking/Ethernet/Dns
NETWORK_GATEWAY,/Device/Config/Networking/Ethernet/Gateway
NETWORK_NETMASK,/Device/Config/Networking/Ethernet/Netmask
NETWORK_WIFI_ESSID,/Device/Config/Networking/Wifi/Ssid
NETWORK_WIFI_PASSWORD,/Device/Config/Networking/Wifi/Security/Passphrase
NETWORK_WIFI_SECURITY,/Device/Config/Networking/Wifi/Security/Type
NETWORK_WIFI_BAND,/Device/Config/Networking/Wifi/Mode
NETWORK_WIFI_CHANNEL,/Device/Config/Networking/Wifi/Channel
NETWORK_WIFI_REGION,/Device/Config/Networking/Wifi/Country
OUTPUT_CHANNEL_ALARM,/Device/Audio/Presets/Live/Extra/OutputProcess/Channels/Channel-{0}/AuxLineDiagnostic/OutputImpedanceMeasure/Enable
OUTPUT_CHANNEL_EQ,/Device/Audio/Presets/Live/OutputProcess/Channels/Channel-{0}/IIR
OUTPUT_CHANNEL_FREQUENCY,/Device/Audio/Presets/Live/Extra/OutputProcess/Channels/Channel-{0}/AuxLineDiagnostic/OutputImpedanceMeasure/Frequency/Value
OUTPUT_CHANNEL_MAX_TH,/Device/Audio/Presets/Live/Extra/OutputProcess/Channels/Channel-{0}/AuxLineDiagnostic/OutputImpedanceMeasure/MaxLevel/Value
OUTPUT_CHANNEL_MIN_TH,/Device/Audio/Presets/Live/Extra/OutputProcess/Channels/Channel-{0}/AuxLineDiagnostic/OutputImpedanceMeasure/MinLevel/Value
OUTPUT_SPEAKER_GENERATOR_ENABLE,/Device/Audio/Presets/Live/Extra/OutputProcess/Channels/Channel-{0}/AuxLineDiagnostic/ToneGenerator/Enable/Value
OUTPUT_SPEAKER_GENERATOR_FREQUENCY,/Device/Audio/Presets/Live/Extra/OutputProcess/Channels/Channel-{0}/AuxLineDiagnostic/ToneGenerator/Frequency/Value
OUTPUT_SPEAKER_GENERATOR_VOLTAGE,/Device/Audio/Presets/Live/Extra/OutputProcess/Channels/Channel-{0}/AuxLineDiagnostic/ToneGenerator/Level/Value
OUTPUT_SPEAKER_IMPEDANCE_DETECTION_ENABLE,/Device/Audio/Presets/Live/Extra/OutputProcess/Channels/Channel-{0}/AuxLineDiagnostic/OutputImpedanceMeasure/Enable/Value
OUTPUT_SPEAKER_IMPEDANCE_DETECTION_FREQUENCY,/Device/Audio/Presets/Live/Extra/OutputProcess/Channels/Channel-{0}/AuxLineDiagnostic/OutputImpedanceMeasure/Frequency/Value
OUTPUT_SPEAKER_IMPEDANCE_DETECTION_MAX_V,/Device/Audio/Presets/Live/Extra/OutputProcess/Channels/Channel-{0}/AuxLineDiagnostic/OutputImpedanceMeasure/MaxLevel/Value
OUTPUT_SPEAKER_IMPEDANCE_DETECTION_MIN_V,/Device/Audio/Presets/Live/Extra/OutputProcess/Channels/Channel-{0}/AuxLineDiagnostic/OutputImpedanceMeasure/MinLevel/Value
OUTPUT_SPEAKER_TONE_DETECTION_ENABLE,/Device/Audio/Presets/Live/Extra/OutputProcess/Channels/Channel-{0}/AuxLineDiagnostic/OutputToneDetection/Enable/Value
OUTPUT_SPEAKER_TONE_DETECTION_FREQUENCY,/Device/Audio/Presets/Live/Extra/OutputProcess/Channels/Channel-{0}/AuxLineDiagnostic/OutputToneDetection/Frequency/Value
OUTPUT_SPEAKER_TONE_DETECTION_MAX_TH,/Device/Audio/Presets/Live/Extra/OutputProcess/Channels/Channel-{0}/AuxLineDiagnostic/OutputToneDetection/MaxLevel/Value
OUTPUT_SPEAKER_TONE_DETECTION_MIN_TH,/Device/Audio/Presets/Live/Extra/OutputProcess/Channels/Channel-{0}/AuxLineDiagnostic/OutputToneDetection/MinLevel/Value
