SymbolicKey,ParameterPath,Found,MatchedVariant,URLs,PageFamilies,SpecialCommandHint,SpecialCommandTerms,SpecialCommandURL,Reason
DEVICE_CHANNELS,/Device/Config/Hardware/Channels,yes,/Device/Config/Hardware,https://download.powersoft.it/temp/Unica/3dparty/protocol.html,protocol,no,,,matched parent container
DEVICE_FIRMWARE_VERSION,/Device/Config/Software/Firmware/Version,no,,,specialCommands,yes,channel;dante;device;dhcp;dns;firmware,https://download.powersoft.it/temp/Unica/3dparty/specialCommands.html,not documented or different path family
DEVICE_SERIAL,/Device/Config/Hardware/Model/Serial,no,,,specialCommands,yes,channel;dante;device;dhcp;dns;gateway,https://download.powersoft.it/temp/Unica/3dparty/specialCommands.html,not documented or different path family
GENERATOR_DURATION,/Device/Audio/Presets/Live/Extra/AuxSignalGenerator/Duration/Value,no,,,specialCommands,yes,channel;dante;dhcp;dns;gateway;ip,https://download.powersoft.it/temp/Unica/3dparty/specialCommands.html,leaf value; docs may omit /Value
GENERATOR_ENABLE,/Device/Audio/Presets/Live/Extra/AuxSignalGenerator/Enable/Value,yes,Enable/Value,https://download.powersoft.it/temp/Unica/3dparty/amplifierSettings.html,amplifierSettings,no,,,loose variant matched
GENERATOR_FREQ,/Device/Audio/Presets/Live/Extra/AuxSignalGenerator/Frequency/Value,no,,,specialCommands,yes,channel;dante;dhcp;dns;freq;frequency,https://download.powersoft.it/temp/Unica/3dparty/specialCommands.html,leaf value; docs may omit /Value
GENERATOR_FREQ_START,/Device/Audio/Presets/Live/Extra/AuxSignalGenerator/StartFreq/Value,no,,,specialCommands,yes,channel;dante;dhcp;dns;freq;gateway,https://download.powersoft.it/temp/Unica/3dparty/specialCommands.html,leaf value; docs may omit /Value
GENERATOR_FREQ_STOP,/Device/Audio/Presets/Live/Extra/AuxSignalGenerator/StopFreq/Value,no,,,specialCommands,yes,channel;dante;dhcp;dns;freq;gateway,https://download.powersoft.it/temp/Unica/3dparty/specialCommands.html,leaf value; docs may omit /Value
GENERATOR_SIGNAL_TYPE,/Device/Audio/Presets/Live/Extra/AuxSignalGenerator/Type/Value,yes,Type/Value,https://download.powersoft.it/temp/Unica/3dparty/amplifierSettings.html,amplifierSettings,no,,,loose variant matched
GENERATOR_SIGNAL_LEVEL,/Device/Audio/Presets/Live/Extra/AuxSignalGenerator/Level/Value,no,,,specialCommands,yes,channel;dante;dhcp;dns;gateway;ip,https://download.powersoft.it/temp/Unica/3dparty/specialCommands.html,leaf value; docs may omit /Value
INPUT_CHANNEL_SOURCE_CARRIER_CHECK_PARAMS,/Device/Audio/Presets/Live/SourceSelection/BackupStrategy/BackupStrategy-{0}/CarrierCheckParams/Enable/Value,yes,Enable/Value,https://download.powersoft.it/temp/Unica/3dparty/amplifierSettings.html,amplifierSettings,no,,,loose variant matched
