key,path,suggestion,reason
"DEVICE_CHANNELS","/Device/Config/Hardware/Channels","",""
"DEVICE_FIRMWARE_VERSION","/Device/Config/Software/Firmware/Version","",""
"DEVICE_NAME","/Device/Config/Name","",""
"DEVICE_SERIAL","/Device/Config/Hardware/Model/Serial","",""
"DEVICE_STANDBY","/Device/Audio/Presets/Live/Generals/Standby/Value","DEVICE_STANDBY_VALUE","missing suffix VALUE"
"GENERATOR_DURATION","/Device/Audio/Presets/Live/Extra/AuxSignalGenerator/Duration/Value","GENERATOR_DURATION_VALUE","missing suffix VALUE"
"GENERATOR_ENABLE","/Device/Audio/Presets/Live/Extra/AuxSignalGenerator/Enable/Value","GENERATOR_ENABLE_ENABLE_VALUE","missing suffix ENABLE_VALUE"
"GENERATOR_FREQ","/Device/Audio/Presets/Live/Extra/AuxSignalGenerator/Frequency/Value","GENERATOR_FREQ_VALUE","missing suffix VALUE"
"GENERATOR_FREQ_START","/Device/Audio/Presets/Live/Extra/AuxSignalGenerator/StartFreq/Value","GENERATOR_FREQ_START_VALUE","missing suffix VALUE"
"GENERATOR_FREQ_STOP","/Device/Audio/Presets/Live/Extra/AuxSignalGenerator/StopFreq/Value","GENERATOR_FREQ_STOP_VALUE","missing suffix VALUE"
"GENERATOR_SIGNAL_TYPE","/Device/Audio/Presets/Live/Extra/AuxSignalGenerator/Type/Value","GENERATOR_SIGNAL_TYPE_VALUE","missing suffix VALUE"
"GENERATOR_SIGNAL_LEVEL","/Device/Audio/Presets/Live/Extra/AuxSignalGenerator/Level/Value","GENERATOR_SIGNAL_LEVEL_VALUE","missing suffix VALUE"
"INPUT_CHANNEL_AUXDELAY","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0}/InDelay/Value","INPUT_CHANNEL_AUXDELAY_VALUE","missing suffix VALUE"
"INPUT_CHANNEL_EQ","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0}/InputEQ/Enable/Value","INPUT_CHANNEL_EQ_ENABLE_VALUE","missing suffix ENABLE_VALUE"
"INPUT_CHANNEL_EQ_POLARITY","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0}/InPolarity/Value","INPUT_CHANNEL_EQ_POLARITY_VALUE","missing suffix VALUE"
"INPUT_CHANNEL_GAIN","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0}/Gain/Value","INPUT_CHANNEL_GAIN_VALUE","missing suffix VALUE"
"INPUT_CHANNEL_MUTE","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0}/Mute/Value","INPUT_CHANNEL_MUTE_VALUE","missing suffix VALUE"
"INPUT_CHANNEL_SHADING","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0}/ShadingGain/Value","INPUT_CHANNEL_SHADING_VALUE","missing suffix VALUE"
"INPUT_CHANNEL_SOURCE_ROUTING","/Device/Audio/Presets/Live/SourceSelection/RoutingChannel-{0}/Src-{1}/Value","INPUT_CHANNEL_SOURCE_ROUTING_VALUE","missing suffix VALUE"
"INPUT_EQ_FILTERS","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-{0}/InputEQ/Filter","",""
"INPUT_PROCESS_GROUPS","/Device/Audio/Presets/Live/Extra/InputProcess/Channels/Channel-{0}/Groups/","",""
"LATENCY_COMPENSATION","/Device/Audio/Presets/Live/Generals/LatencyCompensation/Type","LATENCY_COMPENSATION_TYPE","contains /Type"
"MATRIX","/Device/Audio/Presets/Live/InputMatrix/Channels","",""
"MATRIX_INPUT_MUTE","/Device/Audio/Presets/Live/InputMatrix/InMute-{0}/Value","MATRIX_INPUT_MUTE_VALUE","missing suffix VALUE"
"MATRIX_INPUT_GAIN","/Device/Audio/Presets/Live/InputMatrix/InGain-{0}/Value","MATRIX_INPUT_GAIN_VALUE","missing suffix VALUE"
"MATRIX_GAIN","/Device/Audio/Presets/Live/InputMatrix/Channels/Channel-{0}/Gain-{1}/Value","MATRIX_GAIN_VALUE","missing suffix VALUE"
"MATRIX_MUTE","/Device/Audio/Presets/Live/InputMatrix/Channels/Channel-{0}/Mute-{1}/Value","MATRIX_MUTE_VALUE","missing suffix VALUE"
"NETWORK_ADDRESS","/Device/Config/Networking/Ethernet/Ip","",""
"NETWORK_DHCP_ENABLED","/Device/Config/Networking/Ethernet/Dhcp/Enable","NETWORK_DHCP_ENABLED_ENABLE","missing suffix ENABLE"
"NETWORK_DHCP_FROM","/Device/Config/Networking/Wifi/Dhcp/From","",""
"NETWORK_DHCP_TO","/Device/Config/Networking/Wifi/Dhcp/To","",""
"NETWORK_DNS","/Device/Config/Networking/Ethernet/Dns","",""
"NETWORK_GATEWAY","/Device/Config/Networking/Ethernet/Gateway","",""
"NETWORK_NETMASK","/Device/Config/Networking/Ethernet/Netmask","",""
"INPUT_MATRIX_EXTRA_CONTROL","/Device/Audio/Presets/Live/InputMatrix/Generals/ExtraControl/Enable/Value","INPUT_MATRIX_EXTRA_CONTROL_ENABLE_VALUE","missing suffix ENABLE_VALUE"
"SPEAKER_GROUPS_8","/Device/Audio/Presets/Live/SpeakerLayout/Connections","SPEAKER_CONNECTIONS","multiple keys share same Connections path; duplicate path used by: SPEAKER_GROUPS_4|SPEAKER_GROUPS_2"
"SPEAKER_GROUPS_4","/Device/Audio/Presets/Live/SpeakerLayout/Connections","SPEAKER_CONNECTIONS","multiple keys share same Connections path; duplicate path used by: SPEAKER_GROUPS_8|SPEAKER_GROUPS_2"
"SPEAKER_GROUPS_2","/Device/Audio/Presets/Live/SpeakerLayout/Connections","SPEAKER_CONNECTIONS","multiple keys share same Connections path; duplicate path used by: SPEAKER_GROUPS_8|SPEAKER_GROUPS_4"
"SPEAKER_NAME","/Device/Audio/Presets/Live/SpeakerLayout/Speaker-{0}/ModelName","",""
