key,id,i0,i1,valueType,field
"DEVICE_CHANNELS","/Device/Config/Hardware/Channels",0,0,10,"stringValue"
"DEVICE_FIRMWARE_VERSION","/Device/Config/Software/Firmware/Version",0,0,10,"stringValue"
"DEVICE_NAME","/Device/Config/Name",0,0,10,"stringValue"
"DEVICE_SERIAL","/Device/Config/Hardware/Model/Serial",0,0,10,"stringValue"
"DEVICE_STANDBY","/Device/Audio/Presets/Live/Generals/Standby/Value",0,0,30,"intValue"
"INPUT_CHANNEL_AUXDELAY","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-0/InDelay/Value",0,0,20,"floatValue"
"INPUT_CHANNEL_AUXDELAY","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-1/InDelay/Value",1,0,20,"floatValue"
"INPUT_CHANNEL_AUXDELAY","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-2/InDelay/Value",2,0,20,"floatValue"
"INPUT_CHANNEL_AUXDELAY","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-3/InDelay/Value",3,0,20,"floatValue"
"INPUT_CHANNEL_AUXDELAY","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-4/InDelay/Value",4,0,20,"floatValue"
"INPUT_CHANNEL_AUXDELAY","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-5/InDelay/Value",5,0,20,"floatValue"
"INPUT_CHANNEL_AUXDELAY","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-6/InDelay/Value",6,0,20,"floatValue"
"INPUT_CHANNEL_AUXDELAY","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-7/InDelay/Value",7,0,20,"floatValue"
"INPUT_CHANNEL_EQ","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-0/InputEQ/Enable/Value",0,0,40,"boolValue"
"INPUT_CHANNEL_EQ","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-1/InputEQ/Enable/Value",1,0,40,"boolValue"
"INPUT_CHANNEL_EQ","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-2/InputEQ/Enable/Value",2,0,40,"boolValue"
"INPUT_CHANNEL_EQ","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-3/InputEQ/Enable/Value",3,0,40,"boolValue"
"INPUT_CHANNEL_EQ","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-4/InputEQ/Enable/Value",4,0,40,"boolValue"
"INPUT_CHANNEL_EQ","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-5/InputEQ/Enable/Value",5,0,40,"boolValue"
"INPUT_CHANNEL_EQ","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-6/InputEQ/Enable/Value",6,0,40,"boolValue"
"INPUT_CHANNEL_EQ","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-7/InputEQ/Enable/Value",7,0,40,"boolValue"
"INPUT_CHANNEL_EQ_POLARITY","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-0/InPolarity/Value",0,0,40,"boolValue"
"INPUT_CHANNEL_EQ_POLARITY","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-1/InPolarity/Value",1,0,40,"boolValue"
"INPUT_CHANNEL_EQ_POLARITY","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-2/InPolarity/Value",2,0,40,"boolValue"
"INPUT_CHANNEL_EQ_POLARITY","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-3/InPolarity/Value",3,0,40,"boolValue"
"INPUT_CHANNEL_EQ_POLARITY","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-4/InPolarity/Value",4,0,40,"boolValue"
"INPUT_CHANNEL_EQ_POLARITY","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-5/InPolarity/Value",5,0,40,"boolValue"
"INPUT_CHANNEL_EQ_POLARITY","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-6/InPolarity/Value",6,0,40,"boolValue"
"INPUT_CHANNEL_EQ_POLARITY","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-7/InPolarity/Value",7,0,40,"boolValue"
"INPUT_CHANNEL_GAIN","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-0/Gain/Value",0,0,20,"floatValue"
"INPUT_CHANNEL_GAIN","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-1/Gain/Value",1,0,20,"floatValue"
"INPUT_CHANNEL_GAIN","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-2/Gain/Value",2,0,20,"floatValue"
"INPUT_CHANNEL_GAIN","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-3/Gain/Value",3,0,20,"floatValue"
"INPUT_CHANNEL_GAIN","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-4/Gain/Value",4,0,20,"floatValue"
"INPUT_CHANNEL_GAIN","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-5/Gain/Value",5,0,20,"floatValue"
"INPUT_CHANNEL_GAIN","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-6/Gain/Value",6,0,20,"floatValue"
"INPUT_CHANNEL_GAIN","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-7/Gain/Value",7,0,20,"floatValue"
"INPUT_CHANNEL_MANUAL_SOURCE_SELECTION","/Device/Audio/Presets/Live/SourceSelection/BackupStrategy/BackupStrategy-0/Manual/Value",0,0,30,"intValue"
"INPUT_CHANNEL_MANUAL_SOURCE_SELECTION","/Device/Audio/Presets/Live/SourceSelection/BackupStrategy/BackupStrategy-1/Manual/Value",1,0,30,"intValue"
"INPUT_CHANNEL_MANUAL_SOURCE_SELECTION","/Device/Audio/Presets/Live/SourceSelection/BackupStrategy/BackupStrategy-2/Manual/Value",2,0,30,"intValue"
"INPUT_CHANNEL_MANUAL_SOURCE_SELECTION","/Device/Audio/Presets/Live/SourceSelection/BackupStrategy/BackupStrategy-3/Manual/Value",3,0,30,"intValue"
"INPUT_CHANNEL_MANUAL_SOURCE_SELECTION","/Device/Audio/Presets/Live/SourceSelection/BackupStrategy/BackupStrategy-4/Manual/Value",4,0,30,"intValue"
"INPUT_CHANNEL_MANUAL_SOURCE_SELECTION","/Device/Audio/Presets/Live/SourceSelection/BackupStrategy/BackupStrategy-5/Manual/Value",5,0,30,"intValue"
"INPUT_CHANNEL_MANUAL_SOURCE_SELECTION","/Device/Audio/Presets/Live/SourceSelection/BackupStrategy/BackupStrategy-6/Manual/Value",6,0,30,"intValue"
"INPUT_CHANNEL_MANUAL_SOURCE_SELECTION","/Device/Audio/Presets/Live/SourceSelection/BackupStrategy/BackupStrategy-7/Manual/Value",7,0,30,"intValue"
"INPUT_CHANNEL_MUTE","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-0/Mute/Value",0,0,40,"boolValue"
"INPUT_CHANNEL_MUTE","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-1/Mute/Value",1,0,40,"boolValue"
"INPUT_CHANNEL_MUTE","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-2/Mute/Value",2,0,40,"boolValue"
"INPUT_CHANNEL_MUTE","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-3/Mute/Value",3,0,40,"boolValue"
"INPUT_CHANNEL_MUTE","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-4/Mute/Value",4,0,40,"boolValue"
"INPUT_CHANNEL_MUTE","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-5/Mute/Value",5,0,40,"boolValue"
"INPUT_CHANNEL_MUTE","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-6/Mute/Value",6,0,40,"boolValue"
"INPUT_CHANNEL_MUTE","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-7/Mute/Value",7,0,40,"boolValue"
"INPUT_CHANNEL_SHADING","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-0/ShadingGain/Value",0,0,20,"floatValue"
"INPUT_CHANNEL_SHADING","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-1/ShadingGain/Value",1,0,20,"floatValue"
"INPUT_CHANNEL_SHADING","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-2/ShadingGain/Value",2,0,20,"floatValue"
"INPUT_CHANNEL_SHADING","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-3/ShadingGain/Value",3,0,20,"floatValue"
"INPUT_CHANNEL_SHADING","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-4/ShadingGain/Value",4,0,20,"floatValue"
"INPUT_CHANNEL_SHADING","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-5/ShadingGain/Value",5,0,20,"floatValue"
"INPUT_CHANNEL_SHADING","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-6/ShadingGain/Value",6,0,20,"floatValue"
"INPUT_CHANNEL_SHADING","/Device/Audio/Presets/Live/InputProcess/Channels/Channel-7/ShadingGain/Value",7,0,20,"floatValue"
"INPUT_CHANNEL_SOURCE","/Device/Audio/Presets/Live/SourceSelection/BackupStrategy/BackupStrategy-0/Priority-0/Value",0,0,30,"intValue"
"INPUT_CHANNEL_SOURCE","/Device/Audio/Presets/Live/SourceSelection/BackupStrategy/BackupStrategy-0/Priority-1/Value",0,1,30,"intValue"
"INPUT_CHANNEL_SOURCE","/Device/Audio/Presets/Live/SourceSelection/BackupStrategy/BackupStrategy-0/Priority-2/Value",0,2,30,"intValue"
"INPUT_CHANNEL_SOURCE","/Device/Audio/Presets/Live/SourceSelection/BackupStrategy/BackupStrategy-0/Priority-3/Value",0,3,30,"intValue"
